id,category,params,action,widgetEn,widgetAr,navigationEn,navigationAr,keywordsEn,keywordsAr
69,navigation.updateriskprofile,default,openWidget,Update risk profile,,More -> Mutual Funds -> Fund List,,"eligible, investor, financial, knowledge, risk profile",
70,navigation.mftransactions,default,openWidget,MF Transactions,,More -> Mutual Funds -> Transactions,,"fund name, subscription, redemption, pending, mutual fund, transactions",
71,navigation.mfholdings,default,openWidget,MF Holdings,,More -> Mutual Funds -> Holdings,,"available qty, total value, fund name, fund code, find holdings",
72,navigation.alerts,default,openWidget,Alerts,,More -> Alerts Management,,"alerts, price alerts",
73,navigation.addnewalert,default,openWidget,Add new alert,,More -> Alerts Management,,"price alerts, condition, recurrence, tone, add new",
74,navigation.onelogin,default,openWidget,One login,,More -> One Login,,"single sign on, other services, secure connection",
75,navigation.marginablesymbols,default,openWidget,Marginable symbols,,More -> Marginable Symbols,,"margin, %, equities, ETFs, marginable symbols",
76,navigation.iposymbollist,default,openWidget,IPO symbol list,,More -> IPO,,"min subscription, max subscription, ipo, ipo symbol",
77,navigation.iposubscriptionrequests,default,openWidget,IPO subscription requests,,More -> IPO -> subscription requests,,"request id, net amount, subscription date, ipo, ipo subscription",
78,navigation.allipoorders,default,openWidget,All IPO orders,,More -> IPO -> All IPO orders,,"request id, net amount, subscription date, date range, ipo orders",
79,navigation.iposymbolpastperformance,default,openWidget,IPO symbol past performance,,More -> IPO -> IPO symbol past performance,,"week max, month max, year max, %, ipo performance",
80,navigation.helpcenter,default,openWidget,Help center,,More -> Help and Support,,"support, inquiries, customer care, version, copyright",
81,navigation.anblite,default,openWidget,ANB lite,,More -> Trading Configuration,,"trading configuration, standard, one view",
82,navigation.themechange,default,openWidget,Theme change,,More -> Appearance,,"appearance, light, dark, change, theme",
83,navigation.appsettings,default,openWidget,App settings,,More -> App Settings,,"settings, cache, language",
84,navigation.languagechange,default,openWidget,Language Change,,More -> App Settings -> Application Settings,,"app language, english, change",
85,navigation.clearappcache,default,openWidget,Clear App Cache,,More -> App Settings -> Troubleshooting,,"troubleshooting, clear cache",
